id,week,date,male,age,nationality,origin,language_1,language_2,civil,hcomp,hcomp_other,benefit_2y_1,benefit_2y_2,benefit_2y_3,educ,work_2y,work_2y_type_1,work_2y_type_2,work_2y_type_3,work_2y_type_other,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_8,cont_9,cw_1,cw_2,cw_3,cw_4,cw_5,cw_6,cw_7,cw_8,cw_9,sat,exempt,exempt_reason_1,exempt_reason_2,exempt_reason_other,eff_beh_1,eff_beh_2,eff_beh_3,eff_beh_4,eff_beh_5,eff_beh_6,eff_beh_7,eff_beh_8,eff_beh_9,eff_out_1,eff_out_2,eff_out_3,eff_out_4,eff_out_5,eff_out_6,eff_out_7,intensity_pl,effort_pl,sw_01,sw_02,sw_03,sw_04,sw_05,sw_06,sw_07,sw_08,sw_09,sw_10,sw_11,sw_12,sw_13,sw_14,soc_belonging,rm_01,rm_02,rm_03,rm_04,rm_05,rm_06,rm_07,rm_08,rm_09,rm_10,rm_11,rm_12,cw,treatment,sa,sa_reason,sa_reason_other,cw_ass
6072,42,18102017,0,22,0,0,0,,1,3,,0,,,3,1,2,,,,4,1,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,5,geen idee hoe het verder gaat verlopen,3,5,3,3,3,3,3,5,3,3,3,5,1,1,3,2,2,4,6,5,5,4,5,5,5,5,5,1,1,1,5,5,3,5,5,5,4,6,4,5,3,3,4,5,3,6,1,1,,,5
2156,42,18102017,1,21,0,0,0,,1,5,thuis inwonend met ouders,0,,,3,2,2,,,,4,4,3,3,4,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,8,1,2,,,4,2,1,2,1,1,1,1,1,1,1,2,3,3,2,1,0,3,3,1,2,1,1,1,1,9,9,9,9,5,9,9,2,5,4,5,6,8,4,8,7,7,3,5,7,14,0,0,,,5
9700,42,19102017,1,21,0,0,0,,1,5,thuis inwonend met moeder,0,,,3,3,,,,,3,3,2,4,4,2,4,4,3,3,4,99,3,5,3,4,4,4,3,4,4,3,4,4,8,1,1,,,,,,,,,,,,,,,,,,,,,5,2,4,1,3,3,3,5,6,5,7,5,7,8,2,5,4,5,5,8,3,5,4,3,4,3,6,7,1,1,,,5
3962,43,26102017,1,64,0,0,0,,2,2,,2,,,5,2,3,,,,3,1,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,3,,,,5,5,5,5,5,5,5,5,5,1,1,5,3,3,1,3,5,5,7,8,8,8,4,8,8,1,1,1,1,1,1,1,4,5,4,5,5,8,2,5,8,7,1,3,6,5,1,1,,,4
7759,43,26102017,0,65,0,0,0,,2,2,,0,,,3,3,,,,,1,2,1,2,1,2,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,8,1,5,,AOW,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,2,2,2,2,2,2,2,3,5,4,5,5,8,4,,,3,7,,5,5,1,1,,,4
3720,43,25102017,1,53,0,0,0,,1,1,,1,2,,4,2,2,,,,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,3,,,,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,6,6,6,5,5,6,5,9,7,4,6,6,6,6,4,5,4,5,5,8,3,5,8,7,,,2,10,0,0,,,4
1155,43,25102017,0,46,0,0,0,,3,1,,4,,,3,1,7,,,,3,3,3,2,4,1,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,10,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,9,9,9,9,5,9,9,1,5,4,5,5,8,5,5,2,6,4,7,8,5,1,0,3,Participant could not think of any successes in her life.,3
6639,44,30102017,1,37,0,0,0,,2,1,,0,,,3,3,,,,,4,2,5,3,5,1,4,5,5,4,4,4,4,4,3,5,4,5,4,4,4,4,3,4,9,3,,,,3,4,3,4,4,3,4,4,2,3,3,5,4,4,3,2,3,4,5,7,7,5,6,6,8,6,8,4,5,3,5,7,3,5,4,5,6,8,5,5,5,7,1,1,6,5,1,1,,,3
3006,44,30102017,1,22,0,0,0,,1,1,,0,,,5,4,,,,,5,3,4,2,4,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,9,3,,,,5,5,5,3,5,5,5,5,5,4,4,5,4,4,5,3,5,5,6,9,9,1,9,9,9,1,4,1,1,9,1,1,4,5,5,5,5,4,3,5,5,7,1,1,3,14,0,0,,,4
3421,44,30102017,1,33,3,3,0,,1,1,,,,,1,1,3,,,,4,2,4,2,4,2,4,4,99,4,4,4,99,4,4,4,5,5,4,5,5,4,4,5,9,3,,,,1,5,5,1,5,5,4,5,5,5,5,5,4,5,4,5,2,5,8,8,9,3,8,8,8,1,1,2,2,2,2,2,4,5,4,5,4,8,4,7,8,7,1,5,7,1,1,1,,,4
